USPS	GEOID	NAME	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                        
IL	17055	State Senate District 55	10402446501	137032147	4016.407	52.908	38.755617	-89.061874                                                                                                            
IL	17056	State Senate District 56	590607720	42725274	228.035	16.496	38.764984	-90.059695                                                                                                                
IL	17057	State Senate District 57	1319473418	31278342	509.452	12.077	38.477676	-89.956821                                                                                                               
IL	17058	State Senate District 58	11651561667	245398106	4498.693	94.749	38.208175	-89.026046                                                                                                            
IL	17059	State Senate District 59	10150259101	267356207	3919.037	103.227	37.59327	-88.798023                                                                                                            
IL	17ZZZ	State Senate Districts not defined	0	4070576867	0.	1571.659	42.175301	-87.422424                                                                                                               
IN	18001	State Senate District 1	178589639	549104	68.954	0.212	41.489217	-87.443392                                                                                                                     
IN	18002	State Senate District 2	121130965	14702351	46.769	5.677	41.622207	-87.480066                                                                                                                   
IN	18003	State Senate District 3	295075275	308453383	113.929	119.095	41.62007	-87.331653                                                                                                                
IN	18004	State Senate District 4	590232858	290531989	227.89	112.175	41.640829	-87.017645                                                                                                                
IN	18005	State Senate District 5	3857376954	17642928	1489.342	6.812	41.019636	-86.888245                                                                                                                
IN	18006	State Senate District 6	3518700543	13071309	1358.578	5.047	40.91898	-87.323888                                                                                                                 
IN	18007	State Senate District 7	3257667618	2487276	1257.793	0.96	40.118337	-86.571982                                                                                                                  
IN	18008	State Senate District 8	3406961725	37668508	1315.435	14.544	41.405728	-86.548713                                                                                                               
IN	18009	State Senate District 9	1406448962	48912598	543.033	18.885	41.419864	-85.939292                                                                                                                
IN	18010	State Senate District 10	503922296	4416491	194.565	1.705	41.661101	-86.365427                                                                                                                  
IN	18011	State Senate District 11	384377807	7956342	148.409	3.072	41.727368	-85.977739                                                                                                                  
IN	18012	State Senate District 12	636701297	5398493	245.832	2.084	41.605367	-85.853064                                                                                                                  
IN	18013	State Senate District 13	3123646798	72141599	1206.047	27.854	41.533611	-85.291382                                                                                                              
IN	18014	State Senate District 14	1559890237	6879502	602.277	2.656	41.216994	-84.951173                                                                                                                 
IN	18015	State Senate District 15	208969471	447012	80.684	0.173	41.173258	-85.097825                                                                                                                    
IN	18016	State Senate District 16	1238657484	6783058	478.248	2.619	41.137126	-85.428035                                                                                                                 
IN	18017	State Senate District 17	3131986667	37080188	1209.267	14.317	40.728323	-85.6492                                                                                                                
IN	18018	State Senate District 18	4223581571	39832968	1630.734	15.38	40.857787	-86.140578                                                                                                               
IN	18019	State Senate District 19	3479915058	10698271	1343.603	4.131	40.633345	-85.09805                                                                                                                
IN	18020	State Senate District 20	345501839	10955321	133.399	4.23	40.056745	-86.014437                                                                                                                  
IN	18021	State Senate District 21	1180027348	1343346	455.611	0.519	40.282441	-86.099879                                                                                                                 
IN	18022	State Senate District 22	1648098233	13754878	636.334	5.311	40.505126	-86.655619                                                                                                                
IN	18023	State Senate District 23	4849090617	37674864	1872.244	14.546	40.07266	-87.239356                                                                                                               
IN	18024	State Senate District 24	1323653677	6463127	511.066	2.495	39.738979	-86.722473                                                                                                                 
IN	18025	State Senate District 25	1381214381	4084190	533.29	1.577	40.157629	-85.760156                                                                                                                  
IN	18026	State Senate District 26	2187215588	12261495	844.489	4.734	40.191242	-85.191279                                                                                                                
IN	18027	State Senate District 27	2982959802	39734024	1151.727	15.341	39.780849	-85.115529                                                                                                              
IN	18028	State Senate District 28	1237857996	5401054	477.94	2.085	39.750005	-85.791955                                                                                                                  
IN	18029	State Senate District 29	207318982	7588763	80.046	2.93	39.94242	-86.285217                                                                                                                     
IN	18030	State Senate District 30	142437808	3785268	54.996	1.462	39.893761	-86.151642                                                                                                                   
IN	18031	State Senate District 31	162288906	10103709	62.66	3.901	39.948183	-85.961756                                                                                                                   
IN	18032	State Senate District 32	296783623	192509	114.589	0.074	39.65753	-86.024751                                                                                                                    
IN	18033	State Senate District 33	92278353	1142461	35.629	0.441	39.825912	-86.195225                                                                                                                    
IN	18034	State Senate District 34	123596724	824478	47.721	0.318	39.837887	-86.035216                                                                                                                    
IN	18035	State Senate District 35	373482981	1723252	144.203	0.665	39.685336	-86.374084                                                                                                                  
IN	18036	State Senate District 36	134397367	275979	51.891	0.107	39.662916	-86.150437                                                                                                                    
IN	18037	State Senate District 37	2250797748	24353901	869.038	9.403	39.475823	-86.562223                                                                                                                
IN	18038	State Senate District 38	2174170845	27352469	839.452	10.561	39.40131	-87.259897                                                                                                                
IN	18039	State Senate District 39	6203052428	77038331	2395.012	29.745	38.876461	-87.123726                                                                                                              
IN	18040	State Senate District 40	760764507	5426870	293.733	2.095	39.190962	-86.562498                                                                                                                  
IN	18041	State Senate District 41	1437802235	8226977	555.139	3.176	39.270292	-85.938802                                                                                                                 
IN	18042	State Senate District 42	5312671019	14070710	2051.234	5.433	39.373873	-85.413773                                                                                                               
IN	18043	State Senate District 43	3538127064	30556271	1366.079	11.798	38.892744	-85.327272                                                                                                              
